policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value
29733,I,Alameda,Frame,Tile,1985 and Before,Below 1500,8,$800K to $1.2M
29734,A,Solano,Fire Resistive,Wood,1986 to 1999,Below 1500,10,$1.6M to $2M
29735,C,Alameda,Fire Resistive,Tile,1985 and Before,Below 1500,9,$1.6M to $2M
29736,E,San Mateo,Fire Resistive,Tile,1985 and Before,4000 and Above,9,$1.2M to $1.6M
29737,H,Santa Clara,Fire Resistive,Shingle,1986 to 1999,4000 and Above,1,$800K to $1.2M
29738,I,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,8,$1.6M to $2M
29739,B,Alameda,Frame,Shingle,2000 and After,Between 1500 and 3000,7,Less than $400K
29740,J,San Francisco,Frame,Tile,1986 to 1999,Between 1500 and 3000,4,$400K to $800K
29741,F,Contra Costa,Fire Resistive,Tile,1985 and Before,Between 1500 and 3000,7,$400K to $800K
29742,B,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,2,$1.6M to $2M
29743,E,San Mateo,Fire Resistive,Shingle,1985 and Before,Below 1500,1,Less than $400K
29744,F,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,4,Less than $400K
29745,D,Alameda,Fire Resistive,Tile,1986 to 1999,4000 and Above,2,Less than $400K
29746,E,Alameda,Frame,Wood,1986 to 1999,4000 and Above,8,$400K to $800K
29747,D,Santa Clara,Frame,Tile,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M
29748,A,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,6,Less than $400K
29749,A,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,9,$1.6M to $2M
29750,F,San Mateo,Frame,Metal,1986 to 1999,Between 1500 and 3000,8,$1.2M to $1.6M
29751,G,Santa Clara,Frame,Shingle,1985 and Before,Below 1500,7,$1.2M to $1.6M
29752,H,Alameda,Non-Combustible Masonry,Tile,2000 and After,Below 1500,1,$1.2M to $1.6M
29753,F,Alameda,Fire Resistive,Wood,1985 and Before,4000 and Above,3,$400K to $800K
29754,D,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,2,$400K to $800K
29755,A,Sonoma,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,1,$400K to $800K
29756,C,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,1,$400K to $800K
29757,I,Santa Clara,Fire Resistive,Metal,1986 to 1999,Below 1500,7,$1.6M to $2M
29758,I,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,1,$1.6M to $2M
29759,G,Alameda,Frame,Tile,2000 and After,Between 3000 and 4000,9,$800K to $1.2M
29760,E,Alameda,Fire Resistive,Shingle,2000 and After,4000 and Above,1,$400K to $800K
29761,E,Marin,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,5,$1.6M to $2M
29762,D,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,4,$800K to $1.2M
29763,G,San Francisco,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,2,Less than $400K
29764,J,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,1,$400K to $800K
29765,D,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,7,$1.2M to $1.6M
29766,G,Napa,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,4,$400K to $800K
29767,I,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Below 1500,5,$1.6M to $2M
29768,B,Alameda,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,1,$1.2M to $1.6M
29769,F,Marin,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,3,$1.6M to $2M
29770,I,Santa Clara,Frame,Tile,1986 to 1999,4000 and Above,9,$800K to $1.2M
29771,G,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,9,$1.2M to $1.6M
29772,B,San Francisco,Frame,Shingle,1986 to 1999,4000 and Above,4,$800K to $1.2M
29773,E,San Mateo,Frame,Wood,1985 and Before,Below 1500,5,$400K to $800K
29774,J,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Below 1500,8,$800K to $1.2M
29775,F,San Francisco,Fire Resistive,Wood,2000 and After,4000 and Above,6,$1.6M to $2M
29776,F,San Mateo,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,9,Less than $400K
29777,C,Sonoma,Fire Resistive,Tile,1986 to 1999,4000 and Above,8,$1.6M to $2M
29778,G,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,9,$400K to $800K
29779,A,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,8,$800K to $1.2M
29780,I,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,1,$1.2M to $1.6M
29781,B,Alameda,Fire Resistive,Metal,1986 to 1999,Below 1500,8,$1.2M to $1.6M
29782,B,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,9,$800K to $1.2M
29783,A,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,4,$400K to $800K
29784,H,Alameda,Frame,Tile,1985 and Before,Below 1500,2,$1.6M to $2M
29785,E,Santa Clara,Frame,Shingle,2000 and After,Between 3000 and 4000,1,$400K to $800K
29786,C,Santa Clara,Frame,Metal,2000 and After,Between 1500 and 3000,6,$1.6M to $2M
29787,C,Alameda,Frame,Shingle,1985 and Before,Between 1500 and 3000,2,$1.2M to $1.6M
29788,G,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,4000 and Above,3,Less than $400K
29789,I,Alameda,Non-Combustible Masonry,Tile,2000 and After,Below 1500,9,$1.2M to $1.6M
29790,C,Santa Clara,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,5,$1.2M to $1.6M
29791,D,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Below 1500,4,$400K to $800K
29792,B,Napa,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,2,$1.6M to $2M
29793,E,San Mateo,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,4,$400K to $800K
29794,C,San Francisco,Non-Combustible Masonry,Metal,1986 to 1999,Below 1500,2,$800K to $1.2M
29795,H,Contra Costa,Fire Resistive,Tile,2000 and After,4000 and Above,2,$800K to $1.2M
29796,I,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,5,$400K to $800K
29797,D,Santa Clara,Frame,Metal,2000 and After,Between 1500 and 3000,3,$800K to $1.2M
29798,H,Solano,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,7,$800K to $1.2M
29799,B,Sonoma,Frame,Tile,1986 to 1999,Below 1500,6,$400K to $800K
29800,C,Napa,Frame,Tile,2000 and After,Between 1500 and 3000,7,$1.6M to $2M
29801,A,San Francisco,Frame,Wood,1986 to 1999,Between 1500 and 3000,7,Less than $400K
29802,B,Santa Clara,Frame,Shingle,1986 to 1999,Between 1500 and 3000,5,$800K to $1.2M
29803,A,San Francisco,Fire Resistive,Tile,1985 and Before,Below 1500,2,Less than $400K
29804,J,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,8,$1.6M to $2M
29805,A,Santa Clara,Fire Resistive,Metal,1985 and Before,Between 1500 and 3000,10,$1.2M to $1.6M
29806,D,Santa Clara,Fire Resistive,Tile,1986 to 1999,Below 1500,8,$1.6M to $2M
29807,F,Sonoma,Fire Resistive,Tile,2000 and After,Below 1500,8,$800K to $1.2M
29808,F,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,8,Less than $400K
29809,E,Alameda,Non-Combustible Masonry,Metal,2000 and After,Below 1500,8,$1.6M to $2M
29810,H,Alameda,Fire Resistive,Metal,2000 and After,Below 1500,4,$800K to $1.2M
29811,G,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,3,$800K to $1.2M
29812,H,San Mateo,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,10,$1.2M to $1.6M
29813,H,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,9,$1.2M to $1.6M
29814,C,Santa Clara,Fire Resistive,Tile,1985 and Before,Below 1500,10,$400K to $800K
29815,C,San Mateo,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,10,$1.2M to $1.6M
29816,D,Sonoma,Frame,Shingle,2000 and After,Between 1500 and 3000,3,$1.6M to $2M
29817,C,Santa Clara,Fire Resistive,Shingle,1985 and Before,4000 and Above,8,$1.2M to $1.6M
29818,J,Santa Clara,Fire Resistive,Metal,1985 and Before,Below 1500,8,Less than $400K
29819,H,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,9,$800K to $1.2M
29820,E,Alameda,Frame,Shingle,2000 and After,Below 1500,8,Less than $400K
29821,D,Santa Clara,Frame,Shingle,1986 to 1999,Below 1500,7,Less than $400K
29822,A,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,10,$1.2M to $1.6M
29823,H,Contra Costa,Frame,Shingle,2000 and After,4000 and Above,4,$1.2M to $1.6M
29824,I,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,9,Less than $400K
29825,A,Santa Clara,Frame,Metal,2000 and After,Between 1500 and 3000,4,Less than $400K
29826,A,Alameda,Fire Resistive,Shingle,1985 and Before,Below 1500,7,$1.2M to $1.6M
29827,J,Santa Clara,Frame,Metal,1986 to 1999,Between 1500 and 3000,5,$400K to $800K
29828,I,Alameda,Fire Resistive,Wood,1985 and Before,4000 and Above,10,$1.2M to $1.6M
29829,A,Contra Costa,Fire Resistive,Wood,1985 and Before,4000 and Above,1,$1.6M to $2M
29830,B,Alameda,Frame,Tile,1986 to 1999,4000 and Above,10,$1.2M to $1.6M
29831,E,Solano,Fire Resistive,Tile,1985 and Before,Below 1500,2,$1.6M to $2M
29832,C,San Francisco,Frame,Tile,1986 to 1999,4000 and Above,4,Less than $400K
29833,F,San Francisco,Frame,Metal,2000 and After,Between 1500 and 3000,4,Less than $400K
29834,B,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,6,$1.6M to $2M
29835,E,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,4,$400K to $800K
29836,I,Contra Costa,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,6,$800K to $1.2M
29837,A,San Francisco,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,1,$1.2M to $1.6M
29838,G,Alameda,Fire Resistive,Wood,2000 and After,4000 and Above,8,Less than $400K
29839,C,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,5,$800K to $1.2M
29840,G,San Mateo,Fire Resistive,Metal,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M
29841,G,Sonoma,Frame,Tile,2000 and After,4000 and Above,1,$400K to $800K
29842,G,Solano,Frame,Wood,1986 to 1999,4000 and Above,9,$1.6M to $2M
29843,C,Marin,Frame,Metal,1985 and Before,Between 1500 and 3000,9,Less than $400K
29844,J,Alameda,Frame,Tile,2000 and After,Between 1500 and 3000,10,Less than $400K
29845,G,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,8,$1.2M to $1.6M
29846,J,San Francisco,Fire Resistive,Wood,2000 and After,4000 and Above,4,$800K to $1.2M
29847,H,Sonoma,Non-Combustible Masonry,Metal,2000 and After,Below 1500,3,$400K to $800K
29848,J,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,4,$1.6M to $2M
29849,C,Santa Clara,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,8,$1.2M to $1.6M
29850,G,San Francisco,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,6,Less than $400K
29851,B,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,4,$800K to $1.2M
29852,E,San Mateo,Frame,Metal,2000 and After,Between 1500 and 3000,6,$800K to $1.2M
29853,F,Marin,Fire Resistive,Wood,1986 to 1999,Between 3000 and 4000,4,$400K to $800K
29854,G,San Francisco,Frame,Metal,2000 and After,Between 1500 and 3000,4,$1.2M to $1.6M
29855,F,San Francisco,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,10,Less than $400K
29856,E,Napa,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,1,$400K to $800K
29857,C,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Below 1500,5,$1.6M to $2M
29858,G,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,4000 and Above,3,Less than $400K
29859,E,Santa Clara,Frame,Wood,1985 and Before,Below 1500,1,$400K to $800K
29860,B,Sonoma,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,7,$1.6M to $2M
29861,E,Santa Clara,Fire Resistive,Wood,1985 and Before,Below 1500,6,$800K to $1.2M
29862,B,Santa Clara,Frame,Tile,1986 to 1999,4000 and Above,5,$1.6M to $2M
29863,G,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,1,$800K to $1.2M
29864,D,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Below 1500,8,Less than $400K
29865,H,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,1,$1.6M to $2M
29866,D,Alameda,Frame,Tile,1985 and Before,Below 1500,9,$400K to $800K
29867,E,San Mateo,Frame,Tile,1986 to 1999,Between 1500 and 3000,10,Less than $400K
29868,B,Alameda,Fire Resistive,Metal,1985 and Before,Below 1500,9,$1.6M to $2M
29869,G,Contra Costa,Fire Resistive,Shingle,2000 and After,Below 1500,6,$800K to $1.2M
29870,I,Santa Clara,Frame,Metal,1986 to 1999,4000 and Above,5,$800K to $1.2M
29871,A,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,7,$800K to $1.2M
29872,A,Santa Clara,Fire Resistive,Wood,1985 and Before,4000 and Above,1,$1.2M to $1.6M
29873,J,Contra Costa,Frame,Metal,2000 and After,Between 1500 and 3000,2,$1.6M to $2M
29874,C,Marin,Fire Resistive,Wood,2000 and After,4000 and Above,10,Less than $400K
29875,H,Sonoma,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,7,$1.2M to $1.6M
29876,G,Santa Clara,Frame,Metal,1986 to 1999,Between 1500 and 3000,9,Less than $400K
29877,G,San Mateo,Frame,Shingle,2000 and After,Between 3000 and 4000,6,Less than $400K
29878,A,Santa Clara,Frame,Metal,1986 to 1999,Between 1500 and 3000,9,Less than $400K
29879,D,Contra Costa,Fire Resistive,Metal,1986 to 1999,4000 and Above,6,$400K to $800K
29880,D,Alameda,Frame,Wood,1985 and Before,Below 1500,5,$1.2M to $1.6M
29881,I,Santa Clara,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,2,Less than $400K
29882,H,Napa,Frame,Shingle,1985 and Before,Between 1500 and 3000,1,$400K to $800K
29883,E,Sonoma,Frame,Shingle,1985 and Before,Between 3000 and 4000,3,$1.2M to $1.6M
29884,I,Alameda,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,9,Less than $400K
29885,F,Sonoma,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,10,$1.2M to $1.6M
29886,C,San Francisco,Fire Resistive,Tile,1985 and Before,4000 and Above,2,$1.6M to $2M
29887,H,San Mateo,Fire Resistive,Wood,1986 to 1999,Below 1500,5,$1.6M to $2M
29888,I,Santa Clara,Frame,Metal,2000 and After,Between 1500 and 3000,2,$1.6M to $2M
29889,G,Contra Costa,Frame,Shingle,1985 and Before,Between 1500 and 3000,9,$800K to $1.2M
29890,G,Contra Costa,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,4,$800K to $1.2M
29891,J,Alameda,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,4,$1.6M to $2M
29892,D,Alameda,Frame,Shingle,2000 and After,Between 1500 and 3000,9,$400K to $800K
29893,C,Santa Clara,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M
29894,I,San Mateo,Fire Resistive,Metal,2000 and After,Below 1500,10,$1.6M to $2M
29895,B,Contra Costa,Fire Resistive,Shingle,1986 to 1999,Below 1500,2,Less than $400K
29896,A,Alameda,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,9,$1.2M to $1.6M
29897,D,Contra Costa,Fire Resistive,Tile,1986 to 1999,Below 1500,3,Less than $400K
29898,H,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,2,$1.6M to $2M
29899,D,Alameda,Frame,Tile,1986 to 1999,Below 1500,2,$1.2M to $1.6M
29900,G,Santa Clara,Frame,Metal,1986 to 1999,Between 3000 and 4000,9,$1.6M to $2M
29901,G,Alameda,Fire Resistive,Tile,2000 and After,Between 3000 and 4000,4,$1.6M to $2M
29902,A,Sonoma,Fire Resistive,Tile,1986 to 1999,4000 and Above,10,$400K to $800K
29903,J,Santa Clara,Frame,Wood,1985 and Before,Below 1500,4,$1.2M to $1.6M
29904,J,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,1,Less than $400K
29905,I,San Francisco,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,3,$1.2M to $1.6M
29906,D,Santa Clara,Frame,Shingle,2000 and After,Between 3000 and 4000,7,$800K to $1.2M
29907,I,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,8,$1.6M to $2M
29908,C,Alameda,Frame,Metal,1986 to 1999,Between 3000 and 4000,8,$400K to $800K
29909,C,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,Between 1500 and 3000,4,$1.2M to $1.6M
29910,C,Santa Clara,Fire Resistive,Shingle,1985 and Before,Below 1500,6,$1.2M to $1.6M
29911,C,Alameda,Fire Resistive,Metal,1985 and Before,4000 and Above,9,$1.2M to $1.6M
29912,I,Contra Costa,Fire Resistive,Tile,2000 and After,4000 and Above,9,Less than $400K
29913,I,Contra Costa,Frame,Shingle,1986 to 1999,Between 1500 and 3000,8,$400K to $800K
29914,H,Santa Clara,Frame,Tile,2000 and After,Below 1500,7,$1.6M to $2M
29915,C,Santa Clara,Fire Resistive,Tile,1985 and Before,4000 and Above,1,Less than $400K
29916,H,Contra Costa,Frame,Wood,1986 to 1999,Between 3000 and 4000,4,$400K to $800K
29917,B,San Mateo,Non-Combustible Masonry,Tile,1985 and Before,Below 1500,10,$1.6M to $2M
29918,F,Santa Clara,Fire Resistive,Shingle,1985 and Before,4000 and Above,9,$1.6M to $2M
29919,A,Solano,Fire Resistive,Tile,1985 and Before,Below 1500,5,$800K to $1.2M
29920,B,Contra Costa,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M
29921,A,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,7,$400K to $800K
29922,D,Sonoma,Non-Combustible Masonry,Tile,1986 to 1999,Between 1500 and 3000,3,$1.6M to $2M
29923,A,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Between 1500 and 3000,5,Less than $400K
29924,H,San Francisco,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,9,$400K to $800K
29925,F,Alameda,Non-Combustible Masonry,Shingle,2000 and After,4000 and Above,5,$400K to $800K
29926,D,Santa Clara,Frame,Shingle,2000 and After,4000 and Above,4,$800K to $1.2M
29927,C,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,1,$400K to $800K
29928,I,San Mateo,Frame,Wood,1985 and Before,Between 1500 and 3000,2,$400K to $800K
29929,J,San Francisco,Fire Resistive,Tile,1986 to 1999,Between 3000 and 4000,2,$400K to $800K
29930,B,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,8,Less than $400K
29931,J,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,10,$1.6M to $2M
29932,E,Alameda,Frame,Tile,2000 and After,4000 and Above,3,$800K to $1.2M
29933,D,San Francisco,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,5,Less than $400K
29934,J,Solano,Frame,Metal,1985 and Before,Between 1500 and 3000,9,Less than $400K
29935,H,Solano,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,8,$1.2M to $1.6M
29936,D,Santa Clara,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,7,$800K to $1.2M
29937,J,Contra Costa,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,8,$1.2M to $1.6M
29938,J,San Mateo,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,10,$400K to $800K
29939,C,Santa Clara,Fire Resistive,Wood,2000 and After,Between 1500 and 3000,2,Less than $400K
29940,I,Solano,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,4,$1.6M to $2M
29941,C,Alameda,Frame,Wood,1986 to 1999,Below 1500,2,$1.6M to $2M
29942,D,Santa Clara,Frame,Tile,1986 to 1999,Below 1500,4,Less than $400K
29943,G,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,1,$1.6M to $2M
29944,I,San Francisco,Fire Resistive,Shingle,2000 and After,4000 and Above,6,$1.2M to $1.6M
29945,I,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,10,$1.2M to $1.6M
29946,J,Alameda,Frame,Tile,1985 and Before,Between 3000 and 4000,8,$400K to $800K
29947,A,San Mateo,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,1,$1.2M to $1.6M
29948,I,San Francisco,Frame,Wood,2000 and After,4000 and Above,4,$400K to $800K
29949,A,Marin,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,4,$800K to $1.2M
29950,F,Contra Costa,Fire Resistive,Shingle,2000 and After,Below 1500,7,$1.2M to $1.6M
29951,E,San Francisco,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,8,$800K to $1.2M
29952,A,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,4,$1.2M to $1.6M
29953,F,San Francisco,Frame,Wood,2000 and After,4000 and Above,6,$800K to $1.2M
29954,H,Contra Costa,Fire Resistive,Metal,2000 and After,Below 1500,9,Less than $400K
29955,B,Santa Clara,Fire Resistive,Tile,2000 and After,Below 1500,9,$800K to $1.2M
29956,F,Sonoma,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,10,$1.6M to $2M
29957,E,Contra Costa,Frame,Metal,2000 and After,4000 and Above,4,$800K to $1.2M
29958,B,San Mateo,Frame,Tile,2000 and After,Below 1500,5,$400K to $800K
29959,G,Santa Clara,Frame,Wood,1985 and Before,Between 3000 and 4000,7,$800K to $1.2M
29960,I,Solano,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,8,Less than $400K
