policy_number,agency,county,construction_type,roof_type,construction_year,square_footage,public_protection_class,house_value, claim_amounts 
23695,A,Alameda,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,7,$400K to $800K," $148,490.40 "
23696,H,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,10,$400K to $800K,
23697,D,Alameda,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,10,$1.2M to $1.6M,
23698,J,Contra Costa,Frame,Metal,2000 and After,Below 1500,10,$800K to $1.2M,
23699,E,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 1500 and 3000,8,$400K to $800K,
23700,C,Alameda,Frame,Shingle,1985 and Before,Between 3000 and 4000,5,$1.2M to $1.6M,
23701,D,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 1500 and 3000,5,$400K to $800K," $79,308.32 "
23702,J,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,3,$800K to $1.2M,
23703,H,Contra Costa,Frame,Wood,2000 and After,4000 and Above,1,$400K to $800K,
23704,C,Napa,Non-Combustible Masonry,Shingle,1986 to 1999,Between 3000 and 4000,2,Less than $400K," $72,610.01 "
23705,G,San Francisco,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,8,$800K to $1.2M,
23706,A,San Mateo,Fire Resistive,Wood,2000 and After,4000 and Above,9,$1.2M to $1.6M," $123,081.39 "
23707,D,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,7,$1.2M to $1.6M,
23708,E,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,1,$1.2M to $1.6M,
23709,D,Santa Clara,Frame,Metal,2000 and After,Between 1500 and 3000,2,$800K to $1.2M,
23710,B,San Francisco,Fire Resistive,Metal,1986 to 1999,Below 1500,4,$400K to $800K,
23711,H,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,2,Less than $400K," $36,791.27 "
23712,J,Solano,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,8,Less than $400K,
23713,B,San Francisco,Fire Resistive,Tile,2000 and After,4000 and Above,9,$400K to $800K," $83,553.07 "
23714,F,Contra Costa,Frame,Tile,1985 and Before,Between 3000 and 4000,9,$1.6M to $2M," $158,079.93 "
23715,I,Contra Costa,Fire Resistive,Shingle,2000 and After,Below 1500,1,$400K to $800K,
23716,H,San Mateo,Fire Resistive,Wood,1986 to 1999,4000 and Above,2,$1.2M to $1.6M,
23717,G,Alameda,Fire Resistive,Shingle,1986 to 1999,Between 3000 and 4000,2,$400K to $800K,
23718,J,Alameda,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,6,$1.6M to $2M,
23719,F,San Mateo,Frame,Wood,1985 and Before,Below 1500,6,$1.6M to $2M," $159,957.46 "
23720,A,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,5,$400K to $800K," $87,632.83 "
23721,F,San Mateo,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,1,$1.6M to $2M," $129,655.54 "
23722,J,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,4000 and Above,9,$1.2M to $1.6M," $171,533.82 "
23723,E,Alameda,Frame,Wood,1986 to 1999,Below 1500,3,$800K to $1.2M,
23724,F,San Mateo,Frame,Wood,1985 and Before,Between 1500 and 3000,4,$400K to $800K,
23725,E,Alameda,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,7,$800K to $1.2M,
23726,J,Solano,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,8,$1.6M to $2M,
23727,G,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,8,$1.6M to $2M,
23728,G,Santa Clara,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,3,$1.6M to $2M,
23729,A,Santa Clara,Fire Resistive,Metal,1986 to 1999,Below 1500,3,$1.2M to $1.6M,
23730,I,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,10,$1.2M to $1.6M,
23731,H,San Mateo,Frame,Shingle,1985 and Before,4000 and Above,7,$800K to $1.2M,
23732,E,San Mateo,Frame,Wood,1986 to 1999,Between 1500 and 3000,6,$1.2M to $1.6M,
23733,E,San Mateo,Fire Resistive,Tile,1985 and Before,Below 1500,6,Less than $400K,
23734,D,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,10,$800K to $1.2M,
23735,E,Santa Clara,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,3,$800K to $1.2M,
23736,E,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,8,$400K to $800K,
23737,E,Santa Clara,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,1,$800K to $1.2M,
23738,H,Santa Clara,Frame,Shingle,1985 and Before,Between 1500 and 3000,3,$400K to $800K,
23739,J,Marin,Fire Resistive,Wood,1986 to 1999,4000 and Above,5,Less than $400K," $41,574.77 "
23740,H,Santa Clara,Fire Resistive,Shingle,1985 and Before,4000 and Above,7,$1.6M to $2M,
23741,J,Santa Clara,Frame,Metal,1986 to 1999,4000 and Above,9,$400K to $800K," $80,787.38 "
23742,F,Santa Clara,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,2,$1.6M to $2M," $219,954.02 "
23743,D,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,4,$1.2M to $1.6M," $227,341.92 "
23744,E,San Francisco,Frame,Shingle,2000 and After,4000 and Above,5,$1.6M to $2M,
23745,A,Sonoma,Frame,Metal,1986 to 1999,Between 3000 and 4000,10,Less than $400K," $54,430.34 "
23746,G,San Mateo,Frame,Shingle,1986 to 1999,Below 1500,9,$800K to $1.2M,
23747,B,Santa Clara,Frame,Shingle,1986 to 1999,Between 1500 and 3000,8,Less than $400K," $43,309.04 "
23748,A,San Mateo,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,4,$400K to $800K," $66,005.67 "
23749,G,Contra Costa,Non-Combustible Masonry,Shingle,1985 and Before,Below 1500,2,$1.2M to $1.6M,
23750,H,San Mateo,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,1,$400K to $800K,
23751,B,Sonoma,Fire Resistive,Shingle,1986 to 1999,Between 1500 and 3000,3,$800K to $1.2M,
23752,H,Sonoma,Frame,Wood,2000 and After,4000 and Above,7,$1.2M to $1.6M,
23753,E,Alameda,Frame,Shingle,2000 and After,4000 and Above,2,$1.2M to $1.6M," $210,398.64 "
23754,I,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,10,$400K to $800K,
23755,G,Alameda,Frame,Metal,2000 and After,Between 3000 and 4000,6,Less than $400K," $61,924.67 "
23756,F,Marin,Non-Combustible Masonry,Shingle,1985 and Before,Between 3000 and 4000,7,$800K to $1.2M,
23757,I,Marin,Fire Resistive,Shingle,1985 and Before,Between 1500 and 3000,3,Less than $400K,
23758,E,Solano,Fire Resistive,Wood,2000 and After,Between 3000 and 4000,5,$800K to $1.2M," $137,325.07 "
23759,I,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,4,$400K to $800K,
23760,B,Santa Clara,Frame,Wood,1985 and Before,Between 3000 and 4000,6,$1.6M to $2M,
23761,F,Alameda,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,4,$400K to $800K,
23762,D,San Francisco,Fire Resistive,Tile,1986 to 1999,Below 1500,1,$400K to $800K,
23763,H,San Francisco,Frame,Metal,1985 and Before,Below 1500,9,$1.6M to $2M,
23764,G,Contra Costa,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,1,$1.6M to $2M,
23765,H,San Francisco,Frame,Tile,2000 and After,Below 1500,6,$400K to $800K,
23766,B,Santa Clara,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,2,$1.2M to $1.6M," $152,629.09 "
23767,F,Alameda,Frame,Metal,1986 to 1999,Between 1500 and 3000,7,$800K to $1.2M," $189,473.62 "
23768,E,Alameda,Frame,Wood,2000 and After,4000 and Above,4,Less than $400K,
23769,B,Santa Clara,Fire Resistive,Shingle,2000 and After,4000 and Above,1,$800K to $1.2M,
23770,I,Santa Clara,Non-Combustible Masonry,Metal,1986 to 1999,Between 3000 and 4000,5,$1.2M to $1.6M,
23771,E,Sonoma,Frame,Shingle,2000 and After,Between 3000 and 4000,7,$1.6M to $2M," $200,806.92 "
23772,D,Alameda,Non-Combustible Masonry,Metal,1986 to 1999,Between 1500 and 3000,6,$1.2M to $1.6M,
23773,I,San Mateo,Frame,Tile,1986 to 1999,4000 and Above,8,$1.6M to $2M,
23774,I,San Mateo,Fire Resistive,Shingle,1986 to 1999,4000 and Above,5,$400K to $800K,
23775,C,Contra Costa,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,2,$1.2M to $1.6M," $135,823.00 "
23776,G,San Mateo,Frame,Metal,1986 to 1999,4000 and Above,5,Less than $400K,
23777,H,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,4000 and Above,6,$1.6M to $2M,
23778,G,Marin,Non-Combustible Masonry,Tile,1986 to 1999,4000 and Above,4,$1.2M to $1.6M,
23779,D,Sonoma,Frame,Tile,1986 to 1999,Between 3000 and 4000,5,Less than $400K," $165,052.71 "
23780,C,Santa Clara,Frame,Shingle,2000 and After,Between 1500 and 3000,8,$1.2M to $1.6M,
23781,H,Sonoma,Non-Combustible Masonry,Wood,2000 and After,Between 1500 and 3000,7,$1.2M to $1.6M,
23782,A,Alameda,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,6,$400K to $800K,
23783,E,Sonoma,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,9,$1.2M to $1.6M,
23784,I,Contra Costa,Frame,Tile,2000 and After,Between 3000 and 4000,7,Less than $400K,
23785,C,Contra Costa,Frame,Wood,2000 and After,Below 1500,9,Less than $400K," $43,394.51 "
23786,J,Alameda,Frame,Wood,1985 and Before,4000 and Above,8,Less than $400K,
23787,D,Santa Clara,Frame,Tile,1985 and Before,Below 1500,10,Less than $400K,
23788,J,Santa Clara,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,9,$800K to $1.2M,
23789,I,Alameda,Frame,Tile,2000 and After,4000 and Above,5,$1.6M to $2M," $246,697.45 "
23790,D,Marin,Frame,Wood,2000 and After,Between 3000 and 4000,5,$800K to $1.2M," $128,354.28 "
23791,D,Alameda,Fire Resistive,Tile,2000 and After,Below 1500,8,$1.6M to $2M,
23792,C,Alameda,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,5,$400K to $800K," $132,913.77 "
23793,I,Alameda,Frame,Tile,1985 and Before,Between 1500 and 3000,2,$800K to $1.2M," $194,369.48 "
23794,J,San Francisco,Fire Resistive,Wood,2000 and After,Below 1500,3,$800K to $1.2M,
23795,J,Santa Clara,Frame,Tile,1985 and Before,4000 and Above,3,Less than $400K," $42,047.26 "
23796,I,Napa,Frame,Tile,1985 and Before,Below 1500,3,$800K to $1.2M," $412,841.25 "
23797,D,Alameda,Frame,Shingle,2000 and After,Below 1500,7,Less than $400K," $72,501.05 "
23798,E,San Mateo,Non-Combustible Masonry,Wood,1986 to 1999,Below 1500,1,Less than $400K,
23799,G,Contra Costa,Frame,Tile,2000 and After,Below 1500,6,$1.2M to $1.6M,
23800,G,Contra Costa,Frame,Wood,1986 to 1999,Between 1500 and 3000,3,$1.2M to $1.6M,
23801,E,San Francisco,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,1,Less than $400K,
23802,E,Santa Clara,Frame,Metal,1985 and Before,Below 1500,5,$800K to $1.2M," $142,550.09 "
23803,A,San Francisco,Frame,Shingle,1985 and Before,4000 and Above,8,Less than $400K,
23804,E,Santa Clara,Frame,Tile,1985 and Before,Between 1500 and 3000,5,$1.6M to $2M,
23805,A,Santa Clara,Fire Resistive,Wood,2000 and After,Below 1500,8,$1.6M to $2M,
23806,B,Alameda,Frame,Metal,1986 to 1999,Between 1500 and 3000,5,$400K to $800K,
23807,F,San Francisco,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,1,Less than $400K,
23808,G,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Below 1500,9,$800K to $1.2M," $106,032.52 "
23809,E,Santa Clara,Frame,Tile,1985 and Before,Between 3000 and 4000,3,$800K to $1.2M," $135,141.01 "
23810,J,Santa Clara,Non-Combustible Masonry,Metal,1985 and Before,Below 1500,10,$800K to $1.2M,
23811,A,Marin,Fire Resistive,Shingle,2000 and After,4000 and Above,3,$1.6M to $2M,
23812,B,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Between 3000 and 4000,8,$400K to $800K," $83,065.63 "
23813,H,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 3000 and 4000,2,$400K to $800K," $95,695.89 "
23814,E,Contra Costa,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,1,$1.2M to $1.6M,
23815,E,Alameda,Non-Combustible Masonry,Tile,1986 to 1999,Between 3000 and 4000,10,$1.6M to $2M,
23816,I,San Francisco,Frame,Metal,1985 and Before,Between 1500 and 3000,2,Less than $400K,
23817,J,Marin,Fire Resistive,Wood,1986 to 1999,Between 1500 and 3000,7,$400K to $800K,
23818,A,San Mateo,Fire Resistive,Wood,1985 and Before,Below 1500,3,$800K to $1.2M,
23819,G,San Francisco,Frame,Tile,2000 and After,4000 and Above,7,Less than $400K,
23820,J,Alameda,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,4,$1.2M to $1.6M,
23821,E,Alameda,Frame,Metal,2000 and After,Below 1500,1,$800K to $1.2M," $180,073.49 "
23822,C,Sonoma,Frame,Tile,1986 to 1999,Between 3000 and 4000,10,$1.2M to $1.6M,
23823,B,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,Below 1500,1,$1.6M to $2M,
23824,I,Santa Clara,Frame,Tile,2000 and After,4000 and Above,7,$400K to $800K,
23825,C,Contra Costa,Frame,Shingle,1986 to 1999,Between 1500 and 3000,5,$1.2M to $1.6M,
23826,D,Alameda,Non-Combustible Masonry,Wood,1986 to 1999,Between 3000 and 4000,6,$400K to $800K," $112,195.68 "
23827,I,Contra Costa,Fire Resistive,Shingle,1985 and Before,Below 1500,10,$400K to $800K,
23828,G,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,5,$1.6M to $2M,
23829,E,Sonoma,Non-Combustible Masonry,Tile,1986 to 1999,Below 1500,1,$400K to $800K,
23830,H,Santa Clara,Fire Resistive,Tile,1986 to 1999,Below 1500,5,Less than $400K,
23831,E,Alameda,Frame,Shingle,2000 and After,Between 1500 and 3000,10,$1.6M to $2M,
23832,B,Marin,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,8,$1.6M to $2M,
23833,A,San Francisco,Non-Combustible Masonry,Tile,2000 and After,Between 1500 and 3000,10,$1.6M to $2M,
23834,J,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,Between 3000 and 4000,10,Less than $400K,
23835,I,Alameda,Fire Resistive,Tile,1986 to 1999,Below 1500,4,$800K to $1.2M," $162,981.42 "
23836,A,Santa Clara,Non-Combustible Masonry,Tile,2000 and After,4000 and Above,1,$1.2M to $1.6M,
23837,B,Contra Costa,Non-Combustible Masonry,Tile,1985 and Before,4000 and Above,10,$400K to $800K," $78,283.56 "
23838,I,Santa Clara,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,3,Less than $400K,
23839,H,Alameda,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,5,$1.6M to $2M,
23840,E,Sonoma,Frame,Wood,1986 to 1999,4000 and Above,5,$1.2M to $1.6M,
23841,I,San Mateo,Frame,Wood,2000 and After,Below 1500,1,Less than $400K," $37,886.59 "
23842,G,Napa,Fire Resistive,Tile,1985 and Before,4000 and Above,5,$1.2M to $1.6M," $429,014.96 "
23843,I,Sonoma,Frame,Tile,1985 and Before,Below 1500,8,$400K to $800K,
23844,F,Solano,Frame,Shingle,1986 to 1999,4000 and Above,6,$1.2M to $1.6M,
23845,A,Contra Costa,Non-Combustible Masonry,Tile,2000 and After,Below 1500,4,$800K to $1.2M,
23846,E,Alameda,Frame,Tile,1986 to 1999,Between 3000 and 4000,1,$800K to $1.2M,
23847,D,Contra Costa,Frame,Wood,1985 and Before,Below 1500,10,$400K to $800K,
23848,J,Contra Costa,Frame,Metal,2000 and After,Between 3000 and 4000,9,$400K to $800K,
23849,C,San Francisco,Non-Combustible Masonry,Wood,1986 to 1999,4000 and Above,5,$1.2M to $1.6M,
23850,B,Santa Clara,Fire Resistive,Shingle,2000 and After,Between 1500 and 3000,5,$400K to $800K,
23851,D,Sonoma,Frame,Shingle,1986 to 1999,4000 and Above,7,$800K to $1.2M," $114,848.78 "
23852,A,San Francisco,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,1,$800K to $1.2M,
23853,F,Alameda,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,10,Less than $400K,
23854,C,Marin,Frame,Metal,2000 and After,4000 and Above,8,$400K to $800K," $103,006.80 "
23855,E,San Francisco,Frame,Tile,1985 and Before,Between 1500 and 3000,8,$400K to $800K,
23856,C,Alameda,Fire Resistive,Tile,1986 to 1999,Between 1500 and 3000,5,$800K to $1.2M,
23857,J,Alameda,Fire Resistive,Shingle,1985 and Before,Below 1500,9,$1.6M to $2M," $226,824.48 "
23858,G,Alameda,Fire Resistive,Metal,2000 and After,Between 3000 and 4000,9,$800K to $1.2M," $160,029.28 "
23859,B,Santa Clara,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,2,$1.2M to $1.6M,
23860,B,Solano,Fire Resistive,Tile,1985 and Before,Between 3000 and 4000,5,$1.6M to $2M,
23861,F,Marin,Frame,Wood,2000 and After,Below 1500,10,$1.2M to $1.6M," $130,851.34 "
23862,I,Marin,Non-Combustible Masonry,Shingle,2000 and After,Between 3000 and 4000,3,$400K to $800K,
23863,I,Sonoma,Fire Resistive,Wood,1985 and Before,4000 and Above,8,$400K to $800K,
23864,E,San Mateo,Non-Combustible Masonry,Shingle,2000 and After,Between 1500 and 3000,6,$1.2M to $1.6M," $129,524.34 "
23865,A,Sonoma,Non-Combustible Masonry,Tile,1985 and Before,Between 1500 and 3000,3,Less than $400K,
23866,G,Marin,Fire Resistive,Metal,1985 and Before,Between 3000 and 4000,2,$400K to $800K,
23867,G,Alameda,Fire Resistive,Shingle,1985 and Before,Between 3000 and 4000,5,Less than $400K,
23868,D,Contra Costa,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,7,Less than $400K,
23869,C,Santa Clara,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,1,$800K to $1.2M," $123,888.42 "
23870,C,San Francisco,Non-Combustible Masonry,Metal,2000 and After,Between 3000 and 4000,2,$800K to $1.2M,
23871,B,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Below 1500,3,Less than $400K," $110,746.36 "
23872,C,Santa Clara,Frame,Shingle,2000 and After,Below 1500,2,Less than $400K,
23873,B,San Francisco,Frame,Shingle,2000 and After,Between 1500 and 3000,10,$1.2M to $1.6M,
23874,F,Contra Costa,Frame,Shingle,2000 and After,Below 1500,9,$1.2M to $1.6M,
23875,H,San Mateo,Frame,Tile,1985 and Before,4000 and Above,4,$1.6M to $2M,
23876,J,Alameda,Frame,Tile,1986 to 1999,Between 1500 and 3000,8,$1.2M to $1.6M,
23877,G,Marin,Non-Combustible Masonry,Shingle,2000 and After,Below 1500,4,$1.2M to $1.6M,
23878,E,Sonoma,Frame,Tile,1985 and Before,Between 1500 and 3000,7,$1.6M to $2M,
23879,H,Alameda,Frame,Metal,1986 to 1999,Below 1500,9,Less than $400K," $76,381.08 "
23880,I,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Between 1500 and 3000,7,$1.6M to $2M," $166,648.46 "
23881,H,San Mateo,Fire Resistive,Wood,1985 and Before,Between 3000 and 4000,8,$1.2M to $1.6M,
23882,E,Contra Costa,Non-Combustible Masonry,Metal,1985 and Before,4000 and Above,7,$1.2M to $1.6M,
23883,J,Solano,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,8,Less than $400K," $45,793.63 "
23884,B,San Mateo,Frame,Tile,1986 to 1999,Between 3000 and 4000,6,$800K to $1.2M,
23885,I,Solano,Frame,Shingle,1986 to 1999,Below 1500,5,$1.6M to $2M,
23886,J,Alameda,Fire Resistive,Tile,2000 and After,Below 1500,10,$1.6M to $2M,
23887,I,Alameda,Frame,Metal,2000 and After,4000 and Above,2,$1.6M to $2M,
23888,J,Santa Clara,Non-Combustible Masonry,Shingle,1985 and Before,Between 1500 and 3000,3,$400K to $800K,
23889,B,Solano,Fire Resistive,Tile,1985 and Before,Below 1500,10,$1.2M to $1.6M,
23890,C,Santa Clara,Non-Combustible Masonry,Metal,2000 and After,Below 1500,9,$1.6M to $2M,
23891,H,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Below 1500,8,$800K to $1.2M,
23892,E,Alameda,Fire Resistive,Wood,1985 and Before,Between 1500 and 3000,8,$800K to $1.2M,
23893,F,Alameda,Fire Resistive,Shingle,2000 and After,Below 1500,4,$400K to $800K," $140,545.56 "
23894,F,Marin,Non-Combustible Masonry,Shingle,1985 and Before,4000 and Above,7,Less than $400K,
23895,E,San Francisco,Fire Resistive,Metal,1986 to 1999,Between 1500 and 3000,3,$1.2M to $1.6M," $117,568.60 "
23896,C,Santa Clara,Frame,Shingle,1986 to 1999,Between 3000 and 4000,3,$800K to $1.2M,
23897,D,Sonoma,Fire Resistive,Shingle,1985 and Before,4000 and Above,3,$1.6M to $2M," $464,213.95 "
23898,F,Alameda,Non-Combustible Masonry,Shingle,1986 to 1999,4000 and Above,6,$1.2M to $1.6M,
23899,J,Alameda,Non-Combustible Masonry,Metal,1985 and Before,Between 3000 and 4000,6,$1.6M to $2M,
23900,H,Santa Clara,Fire Resistive,Tile,2000 and After,Between 1500 and 3000,8,Less than $400K,
23901,E,San Mateo,Frame,Wood,1986 to 1999,Below 1500,8,Less than $400K,
23902,C,Sonoma,Frame,Shingle,1985 and Before,Between 3000 and 4000,3,Less than $400K,
23903,B,Santa Clara,Fire Resistive,Metal,2000 and After,4000 and Above,10,$400K to $800K,
23904,F,San Mateo,Non-Combustible Masonry,Tile,2000 and After,Below 1500,1,Less than $400K,
23905,E,Alameda,Frame,Shingle,2000 and After,4000 and Above,3,$400K to $800K," $145,138.69 "
23906,D,Santa Clara,Frame,Shingle,1985 and Before,4000 and Above,4,Less than $400K,
23907,J,Contra Costa,Frame,Metal,1985 and Before,Between 3000 and 4000,1,$800K to $1.2M,
23908,I,Sonoma,Frame,Shingle,2000 and After,Between 1500 and 3000,2,$400K to $800K,
23909,I,San Francisco,Frame,Shingle,1985 and Before,Between 1500 and 3000,4,Less than $400K," $65,993.19 "
23910,B,Alameda,Frame,Metal,1986 to 1999,4000 and Above,4,$1.2M to $1.6M," $235,296.02 "
23911,C,Alameda,Non-Combustible Masonry,Wood,1985 and Before,Between 3000 and 4000,1,Less than $400K,
